ticker,buyprice,buydat,duratione,type,score,sellprice,selldate
['EMR', 44.277180999999999, '2010-04-14', 5, 'long', 0.048719094516433081, 44.285710999999999, '2010-04-21']
['AMP', 43.137968000000001, '2010-04-14', 5, 'long', 1.3268834194799712, 43.173668999999997, '2010-04-21']
['AFL', 49.140386999999997, '2010-04-14', 5, 'long', 0.055713407961642147, 47.567824000000002, '2010-04-21']
['FTR', 4.760745, '2010-04-14', 5, 'long', 0.2316249670307923, 4.8036339999999997, '2010-04-21']
['FFIV', 67.339995999999999, '2010-04-14', 5, 'long', 0.14102634651248103, 66.959998999999996, '2010-04-21']
['CSC', 50.172972999999999, '2010-04-14', 5, 'long', 0.24480314190221186, 49.938096000000002, '2010-04-21']
['CSX', 16.396035000000001, '2010-04-14', 5, 'long', 0.31276502107750748, 16.404903999999998, '2010-04-21']
['ALTR', 24.331697999999999, '2010-04-14', 5, 'long', 0.81846264431534643, 24.350328000000001, '2010-04-21']
['FOSL', 40.950001, '2010-04-14', 5, 'long', 1.4878122727857122, 40.880001, '2010-04-21']
['ACE', 48.107905000000002, '2010-04-14', 5, 'long', 0.11995840740900476, 46.822409999999998, '2010-04-21']
['FISV', 26.155000999999999, '2010-04-14', 5, 'long', 0.048080610168010463, 26.754999000000002, '2010-04-21']
['DFS', 14.964349, '2010-04-14', 5, 'long', 0.057531660849457822, 14.609831, '2010-04-21']
['ADI', 26.768526999999999, '2010-04-14', 5, 'long', 1.1580240561176116, 25.863434999999999, '2010-04-21']
['CHRW', 51.252355999999999, '2010-04-14', 5, 'long', 0.92684854367172864, 53.258420999999998, '2010-04-21']
['KO', 23.365597999999999, '2010-04-14', 5, 'long', 0.054979047151137994, 23.042432999999999, '2010-04-21']
['AZO', 179.800003, '2010-04-14', 5, 'long', 0.17863727575998922, 181.0, '2010-04-21']
['BXP', 67.334676000000002, '2010-04-14', 5, 'long', 0.16876820985675955, 65.494383999999997, '2010-04-21']
['BAX', 27.848151000000001, '2010-04-14', 5, 'long', 0.099949197102498943, 27.693127, '2010-04-21']
['AAP', 44.569298000000003, '2010-04-14', 5, 'long', 0.78784302529090522, 44.264166000000003, '2010-04-21']
['AKAM', 34.159999999999997, '2010-04-14', 5, 'long', 0.29600347165217755, 33.580002, '2010-04-21']
['AN', 19.59, '2010-04-14', 5, 'long', 0.22536298942027527, 20.77, '2010-04-21']
['CERN', 22.100000000000001, '2010-04-14', 5, 'long', 0.11838377851198745, 22.454999999999998, '2010-04-21']
['ADM', 25.118713, '2010-04-15', 5, 'long', 0.06120885833477141, 25.225072000000001, '2010-04-22']
['CTSH', 26.829999999999998, '2010-04-15', 5, 'long', 0.87410452760575019, 26.844999000000001, '2010-04-22']
['XRAY', 34.381390000000003, '2010-04-15', 5, 'long', 0.62368275336259282, 34.429898999999999, '2010-04-22']
['BRCM', 33.419170999999999, '2010-04-15', 5, 'long', 1.123601013884814, 33.250812000000003, '2010-04-22']
['APC', 71.677372000000005, '2010-04-15', 5, 'long', 0.34952180428884372, 70.363516000000004, '2010-04-22']
['EL', 31.946394000000002, '2010-04-15', 5, 'long', 0.11525229830834327, 32.782961999999998, '2010-04-22']
['EMR', 45.172961999999998, '2010-04-15', 5, 'long', 0.67007435325623632, 44.865836000000002, '2010-04-22']
['AVGO', 20.298185, '2010-04-15', 5, 'long', 0.51931406395350521, 19.900727, '2010-04-22']
['FFIV', 67.129997000000003, '2010-04-15', 5, 'long', 0.86068306565751485, 71.790001000000004, '2010-04-22']
['CSC', 50.317512000000001, '2010-04-15', 5, 'long', 0.81849147085253593, 49.992299000000003, '2010-04-22']
['CSX', 16.333950999999999, '2010-04-15', 5, 'long', 0.76087012362571427, 16.466987, '2010-04-22']
['FISV', 26.739999999999998, '2010-04-15', 5, 'long', 0.44733538840857934, 26.920000000000002, '2010-04-22']
['BCR', 82.906131999999999, '2010-04-15', 5, 'long', 0.25055165323547568, 82.108309000000006, '2010-04-22']
['AIZ', 32.206823, '2010-04-15', 5, 'long', 0.043932272931995087, 31.511970999999999, '2010-04-22']
['EXPD', 37.113563999999997, '2010-04-15', 5, 'long', 1.1043646907891627, 37.989018000000002, '2010-04-22']
['ADS', 67.330001999999993, '2010-04-15', 5, 'long', 0.20786367215082358, 73.510002, '2010-04-22']
['CB', 46.477066000000001, '2010-04-15', 5, 'long', 0.1046922779445203, 46.159398000000003, '2010-04-22']
['DFS', 15.038983999999999, '2010-04-15', 5, 'long', 0.26711412994749439, 14.759100999999999, '2010-04-22']
['AZO', 181.050003, '2010-04-15', 5, 'long', 2.1101319825131242, 182.240005, '2010-04-22']
['BAX', 27.956198000000001, '2010-04-15', 5, 'long', 0.39995585658603539, 24.019500000000001, '2010-04-22']
['AAP', 44.667731000000003, '2010-04-15', 5, 'long', 2.5553906440742855, 44.776004999999998, '2010-04-22']
['AKAM', 34.119999, '2010-04-15', 5, 'long', 0.67304754351661344, 34.349997999999999, '2010-04-22']
['CNP', 11.56465, '2010-04-15', 5, 'long', 0.0070875420172460402, 11.358986, '2010-04-22']
['AN', 19.559999000000001, '2010-04-15', 5, 'long', 0.84803747918127947, 20.549999, '2010-04-22']
['ABT', 21.837990999999999, '2010-04-15', 5, 'long', 0.044278973390483811, 21.320820999999999, '2010-04-22']
['DHR', 39.942683000000002, '2010-04-15', 5, 'long', 0.030215569519457475, 41.573296999999997, '2010-04-22']
['CERN', 22.032499000000001, '2010-04-15', 5, 'long', 0.26708516192300502, 22.48, '2010-04-22']
['CSCO', 24.288401, '2010-04-15', 5, 'long', 0.04426801443654993, 24.386590999999999, '2010-04-22']
['ADM', 25.038941999999999, '2010-04-16', 5, 'long', 0.16326860200293147, 25.260525999999999, '2010-04-23']
['EL', 32.269613, '2010-04-16', 5, 'long', 0.52100154310142166, 33.034882000000003, '2010-04-23']
['AVGO', 20.224239000000001, '2010-04-16', 5, 'long', 1.3083779318654059, 19.863752999999999, '2010-04-23']
['BCR', 82.483187999999998, '2010-04-16', 5, 'long', 0.48295070978595556, 82.608153000000001, '2010-04-23']
['EXPD', 36.694468000000001, '2010-04-16', 5, 'long', 2.6522143119965458, 37.867944000000001, '2010-04-23']
['ADS', 66.870002999999997, '2010-04-16', 5, 'long', 0.49534255781881065, 76.739998, '2010-04-23']
['CF', 16.882135999999999, '2010-04-16', 5, 'long', 0.040351874456288517, 15.962998000000001, '2010-04-23']
['KO', 23.374102000000001, '2010-04-16', 5, 'long', 0.01172531691011186, 22.910616999999998, '2010-04-23']
['F', 12.067843, '2010-04-16', 5, 'long', 0.034903915067781566, 12.778245, '2010-04-23']
['ABT', 21.796284, '2010-04-16', 5, 'long', 0.12320195120794586, 21.354184, '2010-04-23']
['CSCO', 24.083096999999999, '2010-04-16', 5, 'long', 0.12497606553968277, 24.520484, '2010-04-23']
['T', 19.811318, '2010-04-19', 5, 'long', 0.030999840715636218, 19.728708999999998, '2010-04-26']
['KO', 23.522926999999999, '2010-04-19', 5, 'long', 0.14354321392370167, 22.846834000000001, '2010-04-26']
['F', 12.229706999999999, '2010-04-19', 5, 'long', 0.22297902509568723, 13.003055, '2010-04-26']
['AGN', 43.330002, '2010-04-20', 5, 'long', 0.16831160023217873, 42.080002, '2010-04-27']
['CCI', 36.338591999999998, '2010-04-20', 5, 'long', 0.21944369223948934, 35.704396000000003, '2010-04-27']
['FITB', 13.216656, '2010-04-20', 5, 'long', 0.034816942587712951, 12.546893000000001, '2010-04-27']
['T', 20.021598000000001, '2010-04-20', 5, 'long', 0.19017126833226272, 19.488389999999999, '2010-04-27']
['CME', 51.335965000000002, '2010-04-20', 5, 'long', 0.072733264179635881, 53.403122000000003, '2010-04-27']
['DHI', 12.059172, '2010-04-20', 5, 'long', 0.17863623080768021, 12.673470999999999, '2010-04-27']
['DVA', 32.814999, '2010-04-20', 5, 'long', 0.0057656304670810066, 32.195, '2010-04-27']
