ticker,buyprice,buydate,duration,score,sellprice,selldate
['MPC', 54.759998000000003, '2015-07-06', 6, 25.368589054408584, 58.790000999999997, '2015-07-14']
['CB', 121.790001, '2015-07-07', 6, 25.088751444961186, 121.870003, '2015-07-15']
['MPC', 55.540000999999997, '2015-07-07', 6, 30.74677654961646, 57.509998000000003, '2015-07-15']
['ROST', 50.169998, '2015-07-08', 6, 27.922444171064548, 52.959999000000003, '2015-07-16']
['MPC', 53.970001000000003, '2015-07-08', 6, 33.70019873862352, 58.479999999999997, '2015-07-16']
['ROST', 50.32, '2015-07-09', 6, 31.549724030216204, 52.270000000000003, '2015-07-17']
['MPC', 53.380001, '2015-07-09', 6, 34.704376611689405, 58.580002, '2015-07-17']
['ROST', 50.860000999999997, '2015-07-10', 6, 34.505068499188226, 52.830002, '2015-07-20']
['CF', 61.709999000000003, '2015-07-10', 6, 48.792660406396905, 65.0, '2015-07-20']
['MPC', 54.490001999999997, '2015-07-10', 6, 35.606981423871183, 57.529998999999997, '2015-07-20']
