ticker,buyprice,buydate,duration,score,sellprice,selldate
['BDX', 73.174109000000001, '2008-03-17', 5, -1, 76.609795000000005, '2008-03-25', 0.046747217653172982]
['ES', 18.935593999999998, '2008-03-17', 5, -1, 18.399176000000001, '2008-03-25', -0.02912071308668731]
['AVY', 36.491374999999998, '2008-03-17', 5, -1, 38.492843000000001, '2008-03-25', 0.054436644275530945]
['MO', 14.036166, '2008-03-17', 5, -1, 14.710191, '2008-03-25', 0.046951924051054993]
['CBG', 18.120000999999998, '2008-03-17', 5, -1, 21.809999000000001, '2008-03-25', 0.20281444796829773]
['GLW', 20.207891, '2008-03-17', 5, -1, 21.878827000000001, '2008-03-25', 0.081945018408897854]
['CBS', 18.426428999999999, '2008-03-17', 5, -1, 19.402441, '2008-03-25', 0.052154001190355487]
['ALTR', 16.094291999999999, '2008-03-17', 5, -1, 17.20739, '2008-03-25', 0.068229034243941944]
['AVB', 70.363688999999994, '2008-03-17', 5, -1, 76.982162000000002, '2008-03-25', 0.093847737289612682]
['ETR', 76.551011000000003, '2008-03-17', 5, -1, 75.254388000000006, '2008-03-25', -0.01713397358004843]
['COP', 42.918945999999998, '2008-03-17', 5, -1, 42.155360000000002, '2008-03-25', -0.018140846236065458]
['DVN', 90.591441000000003, '2008-03-17', 5, -1, 93.893638999999993, '2008-03-25', 0.036285966573817829]
['FOSL', 29.100000000000001, '2008-03-17', 5, -1, 33.240001999999997, '2008-03-25', 0.1417526460481098]
['ACE', 45.577826999999999, '2008-03-17', 5, -1, 47.553207, '2008-03-25', 0.043011703914712769]
['AEP', 28.810369000000001, '2008-03-17', 5, -1, 28.646674000000001, '2008-03-25', -0.0062024544010526412]
['GPS', 16.933268999999999, '2008-03-17', 5, -1, 17.83672, '2008-03-25', 0.052467778076400989]
['DVA', 21.239999999999998, '2008-03-17', 5, -1, 23.174999, '2008-03-25', 0.090395433145009488]
['ACN', 28.288530999999999, '2008-03-17', 5, -1, 30.273690999999999, '2008-03-25', 0.069645185888231542]
['COST', 49.931994000000003, '2008-03-17', 5, -1, 55.085673999999997, '2008-03-25', 0.10291357481137232]
['FISV', 23.739999999999998, '2008-03-17', 5, -1, 24.780000999999999, '2008-03-25', 0.04317611625947769]
['FE', 46.902534000000003, '2008-03-17', 5, -1, 47.184538000000003, '2008-03-25', 0.0056927414625401809]
['COG', 12.004918, '2008-03-17', 5, -1, 12.053938, '2008-03-25', 0.002833838598481098]
['COF', 42.338974, '2008-03-17', 5, -1, 47.325802000000003, '2008-03-25', 0.11742910917019395]
['CTL', 19.529464999999998, '2008-03-17', 5, -1, 20.076589999999999, '2008-03-25', 0.027247290184344592]
['COH', 23.438759999999998, '2008-03-17', 5, -1, 27.816662999999998, '2008-03-25', 0.18614052108558646]
['DOV', 28.057496, '2008-03-17', 5, -1, 29.978476000000001, '2008-03-25', 0.067931222372801914]
['ADSK', 33.909999999999997, '2008-03-17', 5, -1, 33.119999, '2008-03-25', -0.023739339427897278]
['BCR', 90.627475000000004, '2008-03-17', 5, -1, 93.796597000000006, '2008-03-25', 0.034803154341440067]
['KMX', 18.209999, '2008-03-17', 5, -1, 21.440000999999999, '2008-03-25', 0.17655146493967402]
['SCHW', 17.00732, '2008-03-17', 5, -1, 18.266786, '2008-03-25', 0.073172375189036243]
['BSX', 12.199999999999999, '2008-03-17', 5, -1, 12.970000000000001, '2008-03-25', 0.061885245901639456]
['EMC', 13.94835, '2008-03-17', 5, -1, 14.401405, '2008-03-25', 0.031405506744525399]
['FCX', 37.207065, '2008-03-17', 5, -1, 36.341876999999997, '2008-03-25', -0.02365647491948111]
['ECL', 39.082670999999998, '2008-03-17', 5, -1, 40.201397, '2008-03-25', 0.028240802682089013]
['DLTR', 8.6066699999999994, '2008-03-17', 5, -1, 9.8000000000000007, '2008-03-25', 0.13690893225835329]
['AIZ', 50.612941999999997, '2008-03-17', 5, -1, 53.220697000000001, '2008-03-25', 0.051227114993631563]
['FAST', 17.738271999999998, '2008-03-17', 5, -1, 19.890933, '2008-03-25', 0.12051123130821323]
['AAL', 7.3652519999999999, '2008-03-17', 5, -1, 9.016254, '2008-03-25', 0.22212437537778751]
['DD', 32.992030999999997, '2008-03-17', 5, -1, 34.050249999999998, '2008-03-25', 0.031620332800972491]
['EXPE', 28.470707000000001, '2008-03-17', 5, -1, 31.251049999999999, '2008-03-25', 0.097129410941568753]
['EXPD', 35.842455000000001, '2008-03-17', 5, -1, 41.930284999999998, '2008-03-25', 0.16943119549149177]
['DE', 68.429490999999999, '2008-03-17', 5, -1, 69.451330999999996, '2008-03-25', 0.014713539225361146]
['ADS', 44.099997999999999, '2008-03-17', 5, -1, 48.720001000000003, '2008-03-25', 0.1044218414703784]
['ADP', 27.477056999999999, '2008-03-17', 5, -1, 30.063220999999999, '2008-03-25', 0.093574941450243379]
['CL', 32.038201000000001, '2008-03-17', 5, -1, 32.635832000000001, '2008-03-25', 0.018185509230059446]
